rat 1966h 1966t
rabbit 679h 353h
guinea_pig 186h 467h
guinea_pig 42t 12575t
guinea_pig 11404h 3419h
guinea_pig 1782t 235h
guinea_pig 1643t 1643h
guinea_pig 476h 121h
guinea_pig 7948h 8378t
guinea_pig 4540h 2910t
guinea_pig 810h 2781h
guinea_pig 8318t 2127t
guinea_pig 196h 71h
guinea_pig 2982t 129t
guinea_pig 4646t 9563t
guinea_pig 196t 2159h
guinea_pig 891h 3010h
guinea_pig 39t 912h
guinea_pig 11788h 3417h
guinea_pig 296t 1252t
guinea_pig 1942t 681h
guinea_pig 301h 3147t
guinea_pig 430h 430t
guinea_pig 1099t 1099h
guinea_pig 13522t 4508t
guinea_pig 869h 1570t
guinea_pig 5839t 1023h
guinea_pig 4966t 3046t
guinea_pig 575t 1224h
guinea_pig 2733t 377t
guinea_pig 1750h 935t
guinea_pig 86t 614h
guinea_pig 10281h 2504h
guinea_pig 20h 20t
guinea_pig 2227h 3104t
guinea_pig 357h 342t
guinea_pig 1993h 2725t
guinea_pig 95t 2156h
guinea_pig 3209t 3562t
guinea_pig 113t 209h
guinea_pig 177h 2001t
guinea_pig 14414h 4274t
guinea_pig 1169h 1169t
guinea_pig 3120h 95h
guinea_pig 3184t 6736h
guinea_pig 5189t 1843t
guinea_pig 4427h 969t
guinea_pig 2278h 6146h
guinea_pig 1224t 366h
guinea_pig 2512t 1667h
guinea_pig 4655t 11300t
guinea_pig 12935t 3539t
guinea_pig 17095t 7661h
guinea_pig 13603t 6905t
tree_shrew 163h 10331t
tree_shrew 2010h 15159h
tree_shrew 1292t 1063t
tree_shrew 412t 2135t
tree_shrew 12239t 4645h
tree_shrew 7375h 78h
tree_shrew 5019t 6379h
tree_shrew 9586h 12467h
tree_shrew 942t 3590h
tree_shrew 1946h 1946t
tree_shrew 249h 13623h
tree_shrew 5829t 951h
tree_shrew 8776t 553t
tree_shrew 2255h 37h
tree_shrew 14h 7902h
tree_shrew 7388t 1141h
tree_shrew 7867t 13443t
tree_shrew 816t 5840t
tree_shrew 719h 1615t
tree_shrew 15826h 4754h
tree_shrew 1416t 2438t
tree_shrew 6963h 507h
tree_shrew 12t 2944t
tree_shrew 5653t 370t
tree_shrew 1624t 1624h
tree_shrew 411h 411t
tree_shrew 715h 2426h
tree_shrew 2504h 4015t
tree_shrew 465h 3511t
tree_shrew 4719t 7434h
tree_shrew 2053t 8511t
tree_shrew 3992h 179t
tree_shrew 2147h 7298h
tree_shrew 756t 1379h
tree_shrew 5577t 2219t
tree_shrew 958h 4160t
tree_shrew 1153h 4434h
tree_shrew 1252h 3455t
tree_shrew 11775t 7970t
tree_shrew 3335t 4443h
tree_shrew 6341t 10314t
tree_shrew 2844t 7032h
tree_shrew 1992h 3678t
tree_shrew 2597h 4575t
tree_shrew 6462h 2214h
tree_shrew 4772t 4887h
tree_shrew 1483t 5342h
tree_shrew 2384h 2675h
tree_shrew 714t 1547t
tree_shrew 718t 718h
tree_shrew 3421t 3097t
tree_shrew 2860h 3142h
tree_shrew 2742t 350t
tree_shrew 14125h 5366t
tree_shrew 503h 503t
tree_shrew 4872t 2212t
tree_shrew 39t 10781t
tree_shrew 7063h 2103h
tree_shrew 10055t 1877h
tree_shrew 3497t 1036t
tree_shrew 2299h 3555t
tree_shrew 1476h 12023t
tree_shrew 5892t 291h
tree_shrew 8317t 4097h
tree_shrew 5064t 14366h
tree_shrew 649t 125h
tree_shrew 2719h 3228t
tree_shrew 1604h 2595h
tree_shrew 4861h 441t
tree_shrew 3802t 9248h
tree_shrew 2738t 11478t
tree_shrew 970t 1225h
tree_shrew 5467h 1086h
tree_shrew 322t 5713t
tree_shrew 584h 889t
tree_shrew 2348t 17110t
tree_shrew 135t 3200h
tree_shrew 4012h 106t
tree_shrew 452h 10589t
tree_shrew 4477h 10824h
tree_shrew 5407h 6103h
tree_shrew 1941t 1093t
tree_shrew 9802t 7442t
tree_shrew 10236h 139t
tree_shrew 2781t 2781h
tree_shrew 160h 10236t
tree_shrew 3368t 148t
tree_shrew 6675h 3875h
tree_shrew 24h 2600h
tree_shrew 4399h 2079t
tree_shrew 414h 192t
tree_shrew 2313h 1569h
tree_shrew 14039t 3419t
tree_shrew 2915t 1305t
tree_shrew 889h 3424h
tree_shrew 3722t 2518t
tree_shrew 13765t 731h
tree_shrew 8514h 1073h
tree_shrew 14063t 1456t
tree_shrew 2176t 8666t
tree_shrew 555t 575h
tree_shrew 2028h 6513h
tree_shrew 3983t 4830t
tree_shrew 621h 621t
tree_shrew 9812h 668h
tree_shrew 2959h 12782t
tree_shrew 7359t 6208t
tree_shrew 3336t 4215h
tree_shrew 6472h 2499t
tree_shrew 4937h 10089h
tree_shrew 3495h 1159t
tree_shrew 12666h 12666t
tree_shrew 3620t 10076t
tree_shrew 6146h 2278h
tree_shrew 1024h 10223h
tree_shrew 999t 869t
tree_shrew 520t 2952t
tree_shrew 5020h 3743t
tree_shrew 1310h 11899t
tree_shrew 11129h 7238t
tree_shrew 8577h 2515t
tree_shrew 3526t 430h
tree_shrew 9058h 3587h
tree_shrew 11361h 6247t
tree_shrew 1280h 4811h
tree_shrew 15687h 7803t
tree_shrew 6419t 5776h
tree_shrew 1145h 3816h
tree_shrew 4645t 13261t
tree_shrew 4435h 4322t
tree_shrew 1952h 7423h
tree_shrew 2566h 3274h
tree_shrew 4033h 3542t
tree_shrew 668t 2667t
tree_shrew 1363h 177h
tree_shrew 11534h 4377h
tree_shrew 5290h 12405t
tree_shrew 2473t 5930h
tree_shrew 1604t 2433h
tree_shrew 7313h 4499h
tree_shrew 4636h 3909h
tree_shrew 1682h 6592t
tree_shrew 810h 434t
tree_shrew 2733t 7891h
tree_shrew 2768t 2297h
tree_shrew 560t 3594h
tree_shrew 7294t 7294h
tree_shrew 91h 6030t
tree_shrew 271t 1068t
tree_shrew 183h 2597t
tree_shrew 7217t 10591h
tree_shrew 12581h 1814t
tree_shrew 7883t 760h
tree_shrew 3495t 3633t
tree_shrew 1873t 14042h
tree_shrew 1096h 7485t
tree_shrew 5817h 8723t
tree_shrew 7778h 3432h
tree_shrew 2035h 7525t
tree_shrew 5539h 1367t
tree_shrew 7119t 1358t
tree_shrew 6318t 3992t
tree_shrew 1193t 2675t
tree_shrew 5265h 8406t
tree_shrew 3519h 3064h
tree_shrew 2596h 7410h
tree_shrew 3609t 13084h
tree_shrew 2818t 16214h
tree_shrew 2177h 9750h
tree_shrew 2964t 14015t
tree_shrew 13055t 6854t
tree_shrew 5706t 11710h
tree_shrew 375h 13587t
tree_shrew 2117t 2634t
tree_shrew 5164h 395h
tree_shrew 129t 3252t
tree_shrew 618h 618t
tree_shrew 1651t 3838h
tree_shrew 4234t 4971t
tree_shrew 1142t 1356t
tree_shrew 3489t 788h
tree_shrew 839t 839h
tree_shrew 13769t 9911t
tree_shrew 2087t 3660t
tree_shrew 7159h 7362t
tree_shrew 4654t 448t
tree_shrew 5359h 291t
tree_shrew 4197h 7713t
tree_shrew 12422h 4483t
tree_shrew 13694t 924h
tree_shrew 1302t 5781t
tree_shrew 941h 421h
tree_shrew 11549h 960t
tree_shrew 61h 61t
tree_shrew 958t 917t
tree_shrew 4049t 476h
tree_shrew 1018t 3805h
tree_shrew 11370h 1724t
tree_shrew 11h 3023t
tree_shrew 10235t 1643t
tree_shrew 405h 3735t
tree_shrew 2159t 2982h
tree_shrew 86h 614t
tree_shrew 10580h 1036h
tree_shrew 7540t 17483h
tree_shrew 1367h 1045h
tree_shrew 11514t 1645t
tree_shrew 3920h 3920t
tree_shrew 8321t 761h
tree_shrew 1399h 127h
tree_shrew 6809h 233t
tree_shrew 5527t 2954h
tree_shrew 5169t 15561h
tree_shrew 2084h 2135h
tree_shrew 5232t 689h
tree_shrew 182t 1875t
tree_shrew 5460h 2144h
tree_shrew 3971t 7460h
tree_shrew 1562h 655h
tree_shrew 6094t 1302h
tree_shrew 7535h 4937t
tree_shrew 1352h 1003h
tree_shrew 235t 2303t
tree_shrew 3517t 2616h
tree_shrew 2112t 20456t
tree_shrew 13949h 1936t
tree_shrew 1899h 10741h
tree_shrew 3624h 10593h
tree_shrew 142t 3474t
tree_shrew 7314t 8268t
tree_shrew 6902h 4466h
tree_shrew 1816t 9771h
tree_shrew 1033t 11871t
tree_shrew 9060t 1890t
tree_shrew 1398t 554h
tree_shrew 1167h 6782h
tree_shrew 3917t 3917h
tree_shrew 187h 6609t
tree_shrew 1651h 4236h
tree_shrew 1069h 10038t
tree_shrew 1583t 6570t
tree_shrew 3401t 3630h
tree_shrew 2601t 5936t
tree_shrew 4145t 2068t
tree_shrew 2809h 4337t
tree_shrew 787h 1145t
tree_shrew 2105h 5420t
tree_shrew 1181t 1728h
tree_shrew 1942t 8158h
tree_shrew 4268h 4622t
tree_shrew 7803h 16399t
tree_shrew 881h 13859t
tree_shrew 185h 1357h
tree_shrew 1354t 15429h
tree_shrew 1413h 15379t
tree_shrew 2664h 2664t
tree_shrew 376t 7065h
tree_shrew 2235t 2235h
tree_shrew 5063t 12276t
tree_shrew 3622h 3622t
tree_shrew 858t 1733h
tree_shrew 912h 912t
tree_shrew 4257t 1820t
tree_shrew 334t 5752h
tree_shrew 216t 3196h
tree_shrew 4202h 10559h
tree_shrew 2796t 5358h
tree_shrew 586h 2783t
tree_shrew 87t 594h
tree_shrew 5860t 2613h
tree_shrew 5538h 11731t
tree_shrew 4189t 2140t
tree_shrew 2273h 3816t
tree_shrew 446h 6995t
tree_shrew 3970h 1873h
tree_shrew 8122t 6266t
tree_shrew 1792t 2939t
tree_shrew 1209t 7627h
tree_shrew 2797t 3881t
tree_shrew 2070t 22h
tree_shrew 1775t 11971h
tree_shrew 14572h 2001h
tree_shrew 4315t 86t
tree_shrew 4238t 2265t
tree_shrew 10759h 8313t
tree_shrew 4435t 2847h
tree_shrew 3691h 3691t
tree_shrew 87h 4518t
tree_shrew 1973t 3877h
tree_shrew 3815h 4773t
tree_shrew 11836t 5937t
tree_shrew 4249h 7700h
tree_shrew 2226h 9964t
tree_shrew 1726t 2058h
tree_shrew 3847t 676t
tree_shrew 2062t 3542h
tree_shrew 1938t 2343h
tree_shrew 2959t 874h
tree_shrew 9208h 258h
tree_shrew 4855h 279t
tree_shrew 7030t 796h
tree_shrew 3489h 3523t
tree_shrew 2641t 2641h
tree_shrew 2032h 6520h
tree_shrew 1643h 13683t
tree_shrew 868h 5478t
tree_shrew 10912h 2822t
tree_shrew 2859t 12848t
tree_shrew 2913h 2913t
tree_shrew 1106t 1750h
tree_shrew 6854h 2808h
tree_shrew 421t 4853h
tree_shrew 8212t 4677h
tree_shrew 1104h 13720h
tree_shrew 9074h 2101t
tree_shrew 1667t 10099h
tree_shrew 3287h 1500h
tree_shrew 2682h 11586t
tree_shrew 12746h 470h
tree_shrew 332t 16925t
tree_shrew 404t 2734h
tree_shrew 680h 680t
tree_shrew 435h 6341h
tree_shrew 807t 4864h
tree_shrew 9564t 8457t
tree_shrew 2745t 3518t
tree_shrew 1155t 10525h
tree_shrew 1025h 211h
tree_shrew 7817t 8577t
tree_shrew 656t 3914h
tree_shrew 15384t 1193h
tree_shrew 1075t 660t
tree_shrew 543h 13912h
tree_shrew 8045t 18115h
tree_shrew 423t 8919h
tree_shrew 6246t 1406h
tree_shrew 10839t 11584h
tree_shrew 1057h 8524h
tree_shrew 2575h 616t
tree_shrew 2902h 1099h
tree_shrew 6531t 12408h
tree_shrew 844t 247h
tree_shrew 3938t 3156t
tree_shrew 13429h 1789t
tree_shrew 5604h 6896t
tree_shrew 6873t 331h
tree_shrew 1069t 2318h
tree_shrew 239t 1558h
tree_shrew 708t 9141t
tree_shrew 1943t 425t
tree_shrew 6499t 1146h
tree_shrew 11689h 5171h
tree_shrew 10335t 2130h
tree_shrew 4921t 4864t
tree_shrew 12078h 12135t
tree_shrew 2310h 7654h
tree_shrew 3121h 4551t
tree_shrew 14t 15881h
tree_shrew 10333h 5569t
tree_shrew 786t 3587t
tree_shrew 8234h 4t
tree_shrew 7189t 3137t
tree_shrew 5765t 3319h
tree_shrew 550h 574t
tree_shrew 3677h 163t
tree_shrew 133h 240t
tree_shrew 702h 2261h
tree_shrew 3386t 3386h
tree_shrew 6881t 10206t
tree_shrew 313t 5593t
tree_shrew 7355h 3224t
tree_shrew 2642h 2645t
tree_shrew 3054t 1477h
tree_shrew 4485h 8995h
tree_shrew 7243h 9559h
tree_shrew 11932h 4903t
tree_shrew 9409t 4345h
tree_shrew 11077t 5391t
tree_shrew 4104t 4104h
tree_shrew 6036t 13441h
tree_shrew 15235t 727t
tree_shrew 596t 1432t
tree_shrew 2843t 2259t
tree_shrew 1972t 5228t
tree_shrew 2939h 701h
tree_shrew 1318h 440t
tree_shrew 107t 5820h
tree_shrew 5032h 3263t
tree_shrew 1474t 606h
tree_shrew 4890h 7050t
tree_shrew 1716h 5379h
tree_shrew 5378t 4987t
tree_shrew 1887t 482h
tree_shrew 4833h 763t
tree_shrew 4129t 13938h
tree_shrew 578t 3780t
tree_shrew 42h 496h
tree_shrew 6564t 1345h
tree_shrew 11367t 578h
tree_shrew 4799t 154h
tree_shrew 767t 4627h
tree_shrew 3389h 8584t
tree_shrew 320t 317h
tree_shrew 2739t 878t
tree_shrew 10496t 2659h
tree_shrew 3709h 5499t
tree_shrew 1608t 320h
tree_shrew 13167h 13167t
tree_shrew 3275t 3889h
tree_shrew 1489h 6983t
tree_shrew 6958h 169h
tree_shrew 1534h 20923h
tree_shrew 3574h 6334h
tree_shrew 6851h 7401t
tree_shrew 12905h 10709h
tree_shrew 7499t 9707t
tree_shrew 2189h 3634t
tree_shrew 1077t 7514t
tree_shrew 5249t 1008t
tree_shrew 1077h 6611t
tree_shrew 1932t 7092h
tree_shrew 3398h 12490h
tree_shrew 1500t 8003h
tree_shrew 18945t 2017t
tree_shrew 2640h 11861t
tree_shrew 1327t 6370h
tree_shrew 9056h 5539t
tree_shrew 878h 249t
tree_shrew 16h 144h
tree_shrew 1686t 9012h
tree_shrew 3804h 417t
tree_shrew 2365h 234t
tree_shrew 10954t 4638t
tree_shrew 2703t 6396t
tree_shrew 6611h 800h
tree_shrew 10889h 5646h
tree_shrew 11717t 11717h
tree_shrew 26h 6521t
tree_shrew 9272h 11089t
tree_shrew 8734t 9546h
tree_shrew 5746t 5160h
tree_shrew 3371t 6079h
tree_shrew 5131t 7410t
tree_shrew 11339t 6450t
tree_shrew 6178t 3277t
tree_shrew 2282t 3277h
tree_shrew 5829h 2186t
tree_shrew 613t 6004t
tree_shrew 11248t 4692t
tree_shrew 3876h 1072t
tree_shrew 10416t 8237h
tree_shrew 6380h 6274t
tree_shrew 9084t 612t
tree_shrew 15962h 273h
tree_shrew 8814t 2413t
tree_shrew 3819t 2048h
tree_shrew 3819h 2960h
tree_shrew 4948h 4948t
tree_shrew 3982t 1798t
tree_shrew 2869t 201h
tree_shrew 8196t 5086h
tree_shrew 5805h 1710t
tree_shrew 429t 12953t
tree_shrew 4518h 2505t
tree_shrew 13274t 11576h
tree_shrew 1829t 7124h
tree_shrew 631h 4479t
tree_shrew 8078h 567t
tree_shrew 16830t 16830h
tree_shrew 12796h 1627t
tree_shrew 3726h 2944h
tree_shrew 1219h 3808t
tree_shrew 5295h 5928t
tree_shrew 2316t 1235h
tree_shrew 12927t 14972h
tree_shrew 11069h 3959t
tree_shrew 7600t 1875h
tree_shrew 2922t 13872t
tree_shrew 2293h 6395t
tree_shrew 3305t 338h
tree_shrew 5958t 6017h
tree_shrew 890h 2392t
tree_shrew 5450t 1510t
tree_shrew 5788h 5511t
tree_shrew 3721t 4704h
tree_shrew 3690t 1431h
tree_shrew 3299h 1468t
tree_shrew 1147t 2260t
tree_shrew 8704t 2563t
tree_shrew 10163t 9373h
tree_shrew 2340h 8991h
tree_shrew 5722t 205t
tree_shrew 570t 2812h
tree_shrew 8467h 6936t
tree_shrew 19044t 1647h
tree_shrew 3605h 2622t
tree_shrew 1775h 965h
tree_shrew 7019h 1213h
tree_shrew 13171t 5782t
tree_shrew 10206h 3678h
tree_shrew 6242t 14033t
tree_shrew 1413t 11145h
tree_shrew 3254t 3098h
tree_shrew 145t 16707t
tree_shrew 1215t 2872t
tree_shrew 8995t 1205t
tree_shrew 16376t 9079t
tree_shrew 13350t 3251t
tree_shrew 5522h 1287t
tree_shrew 10903t 10903h
tree_shrew 4624t 2476h
tree_shrew 8386t 11738t
tree_shrew 5051h 48h
tree_shrew 2439t 3679h
tree_shrew 9661h 4846t
tree_shrew 4605h 1336t
tree_shrew 7365t 612h
tree_shrew 5791h 211t
tree_shrew 20042t 296t
tree_shrew 12647t 19268h
tree_shrew 3481t 8337h
tree_shrew 1222t 3448t
tree_shrew 3787t 9795h
tree_shrew 1253t 18221t
tree_shrew 2590h 4575h
tree_shrew 4249t 5779t
tree_shrew 2253h 14926h
tree_shrew 1508h 6151h
tree_shrew 4488t 6300h
tree_shrew 1079h 16385h
tree_shrew 3997t 4318t
tree_shrew 310h 14088h
tree_shrew 11528t 542h
tree_shrew 5463h 3824t
tree_shrew 4022h 9319h
tree_shrew 5960t 1184t
tree_shrew 577h 417h
tree_shrew 749h 749t
tree_shrew 232t 3947t
tree_shrew 3654t 8834h
tree_shrew 13836h 7773t
tree_shrew 5808t 2118h
tree_shrew 2247t 8512h
tree_shrew 6243h 8494h
tree_shrew 11899h 819t
tree_shrew 18159h 14282t
tree_shrew 17157t 3469t
tree_shrew 2900h 11616h
tree_shrew 10293h 2267t
tree_shrew 4412h 14528h
tree_shrew 2804t 9203t
tree_shrew 13091t 4408h
tree_shrew 1475h 4540h
tree_shrew 13070h 12448t
tree_shrew 2709t 2171t
tree_shrew 5489t 5988h
tree_shrew 2450t 4714t
tree_shrew 1041h 595h
tree_shrew 1315h 2360h
tree_shrew 9521h 5846t
tree_shrew 358h 8014t
tree_shrew 5550h 3381h
tree_shrew 6317t 5640h
tree_shrew 645t 645h
tree_shrew 3593t 4836t
tree_shrew 7802t 6527t
tree_shrew 8117h 4964t
tree_shrew 4863h 962t
tree_shrew 19573h 2924h
tree_shrew 3710h 3566h
tree_shrew 2773t 3073h
tree_shrew 763h 777t
tree_shrew 12700t 479h
tree_shrew 1479t 8038t
tree_shrew 11553t 13084t
tree_shrew 5459h 3838t
tree_shrew 338t 823t
tree_shrew 6198t 3792t
tree_shrew 2505h 10248h
tree_shrew 8793h 154t
tree_shrew 1404t 2011t
tree_shrew 3984h 5648h
tree_shrew 10015t 4467t
tree_shrew 4794h 2439h
