rabbit 353h 679h
rat 1966t 1966h
guinea_pig 1993h 2725t
guinea_pig 2278h 6146h
guinea_pig 8378t 7948h
guinea_pig 20t 20h
guinea_pig 2159h 196t
guinea_pig 2982t 129t
guinea_pig 9563t 4646t
guinea_pig 196h 239h
guinea_pig 12575t 42t
guinea_pig 1643t 1643h
guinea_pig 1782t 3419h
guinea_pig 467h 186h
guinea_pig 4693h 235h
guinea_pig 342t 357h
guinea_pig 113t 209h
guinea_pig 4966t 3046t
guinea_pig 4508t 13522t
guinea_pig 5189t 1843t
guinea_pig 95h 3120h
guinea_pig 1099t 1099h
guinea_pig 95t 2156h
guinea_pig 121h 476h
guinea_pig 8318t 2127t
guinea_pig 1942t 1252t
guinea_pig 3463t 296t
guinea_pig 3147t 301h
guinea_pig 3562t 3209t
guinea_pig 3104t 2227h
guinea_pig 2781h 810h
guinea_pig 2504h 10281h
guinea_pig 377t 2733t
guinea_pig 912h 39t
guinea_pig 3010h 891h
guinea_pig 3184t 6736h
guinea_pig 86t 614h
guinea_pig 935t 1750h
guinea_pig 2512t 1667h
guinea_pig 4274t 14414h
guinea_pig 11300t 4655t
guinea_pig 12935t 3539t
guinea_pig 11788h 3417h
guinea_pig 1169t 1169h
guinea_pig 2910t 4540h
guinea_pig 1570t 869h
guinea_pig 2001t 177h
guinea_pig 430t 430h
guinea_pig 5839t 1023h
guinea_pig 366h 1224t
guinea_pig 4427h 969t
guinea_pig 575t 1224h
guinea_pig 7661h 17095t
guinea_pig 6905t 13603t
tree_shrew 8871t 1562h
tree_shrew 2058h 1726t
tree_shrew 15826h 4754h
tree_shrew 15159h 2010h
tree_shrew 2613h 5860t
tree_shrew 586h 2783t
tree_shrew 4337t 2809h
tree_shrew 17483h 7540t
tree_shrew 1875t 182t
tree_shrew 133h 240t
tree_shrew 6341t 10314t
tree_shrew 10593h 3624h
tree_shrew 2297h 2768t
tree_shrew 10055t 1877h
tree_shrew 3228t 2719h
tree_shrew 2117t 2634t
tree_shrew 11514t 1645t
tree_shrew 1169h 1086h
tree_shrew 6570t 1583t
tree_shrew 3419t 1006h
tree_shrew 960t 11549h
tree_shrew 4855h 279t
tree_shrew 13765t 731h
tree_shrew 421t 4853h
tree_shrew 3630h 3401t
tree_shrew 376t 7065h
tree_shrew 3495h 1159t
tree_shrew 8666t 2176t
tree_shrew 5460h 2144h
tree_shrew 2426h 2114h
tree_shrew 1145h 3816h
tree_shrew 2641h 2641t
tree_shrew 3196h 216t
tree_shrew 6592t 1682h
tree_shrew 61t 61h
tree_shrew 7238t 11129h
tree_shrew 1357h 185h
tree_shrew 5752h 334t
tree_shrew 8577h 2515t
tree_shrew 3054t 1477h
tree_shrew 2738t 11478t
tree_shrew 11141h 1075t
tree_shrew 3137t 7189t
tree_shrew 5527t 2954h
tree_shrew 13429h 1789t
tree_shrew 7654h 2310h
tree_shrew 10089h 4937h
tree_shrew 6472h 2499t
tree_shrew 2135t 412t
tree_shrew 7485t 1096h
tree_shrew 2438t 1416t
tree_shrew 668t 2667t
tree_shrew 2028h 6513h
tree_shrew 1069t 2318h
tree_shrew 689h 5232t
tree_shrew 5706t 11710h
tree_shrew 2664t 2664h
tree_shrew 702h 8239h
tree_shrew 3424h 889h
tree_shrew 2384h 2675h
tree_shrew 6146h 2278h
tree_shrew 2226h 9964t
tree_shrew 796h 7030t
tree_shrew 37h 2255h
tree_shrew 14336h 4145t
tree_shrew 3252t 129t
tree_shrew 3518t 2745t
tree_shrew 3691h 5823h
tree_shrew 135t 3200h
tree_shrew 7298h 2147h
tree_shrew 10591h 7217t
tree_shrew 839h 839t
tree_shrew 2103h 7063h
tree_shrew 3816t 9473h
tree_shrew 6995t 446h
tree_shrew 869t 999t
tree_shrew 1500h 2033h
tree_shrew 5164h 395h
tree_shrew 4268h 4622t
tree_shrew 11503t 4249h
tree_shrew 14572h 2001h
tree_shrew 2847h 4435t
tree_shrew 668h 9812h
tree_shrew 2177h 9750h
tree_shrew 7713t 4197h
tree_shrew 448t 4654t
tree_shrew 1252h 527t
tree_shrew 1036t 3497t
tree_shrew 5358h 2796t
tree_shrew 13055t 6854t
tree_shrew 1068t 271t
tree_shrew 2101t 9074h
tree_shrew 4499h 7313h
tree_shrew 9208h 258h
tree_shrew 4872t 2212t
tree_shrew 7883t 760h
tree_shrew 10333h 5569t
tree_shrew 8321t 761h
tree_shrew 3542t 3542h
tree_shrew 5776h 6419t
tree_shrew 1102t 4033h
tree_shrew 550h 574t
tree_shrew 3587h 9058h
tree_shrew 2959h 12782t
tree_shrew 1432t 596t
tree_shrew 1899h 10741h
tree_shrew 924h 13694t
tree_shrew 719h 1615t
tree_shrew 291t 5359h
tree_shrew 2939h 701h
tree_shrew 11775t 7970t
tree_shrew 1604t 2433h
tree_shrew 5063t 12276t
tree_shrew 6036t 13441h
tree_shrew 6621h 1036h
tree_shrew 4238t 2265t
tree_shrew 375h 366h
tree_shrew 1209h 1209t
tree_shrew 2818t 16214h
tree_shrew 2959t 16535h
tree_shrew 87h 1041t
tree_shrew 3489t 788h
tree_shrew 1167h 6782h
tree_shrew 3386h 3386t
tree_shrew 4772t 4887h
tree_shrew 11586t 2682h
tree_shrew 7778h 3432h
tree_shrew 2822t 10912h
tree_shrew 12422h 4483t
tree_shrew 1142t 1356t
tree_shrew 4234t 4971t
tree_shrew 1322t 5604h
tree_shrew 4434h 1153h
tree_shrew 7803t 15687h
tree_shrew 3875h 6675h
tree_shrew 3594h 560t
tree_shrew 3678t 1992h
tree_shrew 553t 8776t
tree_shrew 4645t 13261t
tree_shrew 1713t 7867t
tree_shrew 247h 844t
tree_shrew 233t 6809h
tree_shrew 13859t 881h
tree_shrew 3519h 3064h
tree_shrew 4435h 4322t
tree_shrew 2616h 3517t
tree_shrew 350t 2742t
tree_shrew 8514h 1073h
tree_shrew 9586h 12467h
tree_shrew 160h 10236t
tree_shrew 3881t 2797t
tree_shrew 15384t 1193h
tree_shrew 1643t 10235t
tree_shrew 5820h 107t
tree_shrew 6318t 3992t
tree_shrew 1816t 9771h
tree_shrew 3368t 148t
tree_shrew 1547t 714t
tree_shrew 7423h 1952h
tree_shrew 5593t 10460h
tree_shrew 3660t 2087t
tree_shrew 1604h 2595h
tree_shrew 7375h 78h
tree_shrew 12581h 1814t
tree_shrew 3224t 7355h
tree_shrew 10038t 1069h
tree_shrew 3121h 4551t
tree_shrew 2219t 5577t
tree_shrew 4903t 11932h
tree_shrew 2079t 4399h
tree_shrew 10236h 139t
tree_shrew 6902h 4466h
tree_shrew 12t 2944t
tree_shrew 11370h 2259t
tree_shrew 3847t 676t
tree_shrew 435h 6341h
tree_shrew 5937t 11836t
tree_shrew 5290h 12405t
tree_shrew 1352h 1003h
tree_shrew 11361h 6247t
tree_shrew 2844t 116t
tree_shrew 1367h 1045h
tree_shrew 810h 434t
tree_shrew 816t 5840t
tree_shrew 3511t 465h
tree_shrew 7442t 9802t
tree_shrew 2105h 5420t
tree_shrew 1310h 11899t
tree_shrew 3735t 405h
tree_shrew 163h 10331t
tree_shrew 4215h 3336t
tree_shrew 1155t 440t
tree_shrew 14015t 2964t
tree_shrew 8317t 4097h
tree_shrew 5019t 6379h
tree_shrew 3629h 3620t
tree_shrew 6208h 708t
tree_shrew 2566h 3274h
tree_shrew 1972t 5228t
tree_shrew 807t 4864h
tree_shrew 1141h 7388t
