rabbit 679h 558h
guinea_pig 935t 1750h
guinea_pig 614h 86t
guinea_pig 2227h 3104t
guinea_pig 2159h 196t
guinea_pig 239h 196h
guinea_pig 9563t 4646t
guinea_pig 2982t 129t
guinea_pig 6146h 2278h
guinea_pig 177h 2001t
guinea_pig 5189t 1843t
guinea_pig 186h 467h
guinea_pig 42t 12575t
guinea_pig 235h 5557h
guinea_pig 3419h 1782t
guinea_pig 1643h 1643t
guinea_pig 20h 20t
guinea_pig 6736h 3184t
guinea_pig 2512t 1667h
guinea_pig 3046t 4966t
guinea_pig 969t 4427h
guinea_pig 13522t 4508t
guinea_pig 113t 209h
guinea_pig 575t 1224h
guinea_pig 1169h 1169t
guinea_pig 912h 39t
guinea_pig 891h 3010h
guinea_pig 2781h 810h
guinea_pig 1993h 2725t
guinea_pig 2733t 377t
guinea_pig 95h 3120h
guinea_pig 11788h 3417h
guinea_pig 11300t 4655t
guinea_pig 1099h 1099t
guinea_pig 8318t 2127t
guinea_pig 476h 121h
guinea_pig 4283h 430t
guinea_pig 14414h 4274t
guinea_pig 7948h 8378t
guinea_pig 3562t 3209t
guinea_pig 1023h 5839t
guinea_pig 1570t 869h
guinea_pig 2504h 10281h
guinea_pig 2910t 4540h
guinea_pig 1942t 1252t
guinea_pig 296t 3463t
guinea_pig 3147t 301h
guinea_pig 366h 1224t
guinea_pig 95t 2156h
guinea_pig 357h 342t
guinea_pig 12935t 3539t
guinea_pig 17095t 7661h
guinea_pig 13603t 6905t
tree_shrew 4773t 3815h
tree_shrew 5417h 3336t
tree_shrew 7525t 2035h
tree_shrew 142t 3474t
tree_shrew 5358h 5936t
tree_shrew 139t 10236h
tree_shrew 1302h 6094t
tree_shrew 2176t 8666t
tree_shrew 2159t 2982h
tree_shrew 2114h 3495t
tree_shrew 1305t 2915t
tree_shrew 8268t 7314t
tree_shrew 13261t 4645t
tree_shrew 520t 2952t
tree_shrew 10593h 3624h
tree_shrew 15561h 5169t
tree_shrew 2944t 12t
tree_shrew 6609t 187h
tree_shrew 2515t 8577h
tree_shrew 4189t 2140t
tree_shrew 807t 4864h
tree_shrew 701h 2939h
tree_shrew 2348t 17110t
tree_shrew 6873t 331h
tree_shrew 3816h 1145h
tree_shrew 1193h 15384t
tree_shrew 7891h 2733t
tree_shrew 15826h 4754h
tree_shrew 839t 839h
tree_shrew 6896t 5604h
tree_shrew 1624t 1624h
tree_shrew 6472h 2499t
tree_shrew 3971t 7460h
tree_shrew 2297h 2768t
tree_shrew 421h 941h
tree_shrew 788h 3489t
tree_shrew 13949h 1936t
tree_shrew 5593t 313t
tree_shrew 14366h 5064t
tree_shrew 7713t 4197h
tree_shrew 1651h 4236h
tree_shrew 2265t 4238t
tree_shrew 2384h 2675h
tree_shrew 614t 86h
tree_shrew 760h 7883t
tree_shrew 7817t 8577t
tree_shrew 4477h 10824h
tree_shrew 11077t 5391t
tree_shrew 240t 133h
tree_shrew 2595h 1604h
tree_shrew 8212t 4677h
tree_shrew 1432t 596t
tree_shrew 2601h 2601t
tree_shrew 2781t 2781h
tree_shrew 7803h 16399t
tree_shrew 5010h 1583t
tree_shrew 2219t 7202h
tree_shrew 1406h 6246t
tree_shrew 2600h 24h
tree_shrew 2105h 5420t
tree_shrew 5398t 1562h
tree_shrew 2797t 3881t
tree_shrew 7238t 11129h
tree_shrew 4399h 2079t
tree_shrew 2596h 7410h
tree_shrew 7189t 3137t
tree_shrew 680t 680h
tree_shrew 6854h 2808h
tree_shrew 3200h 135t
tree_shrew 2844t 116t
tree_shrew 235t 15235h
tree_shrew 889t 584h
tree_shrew 2135h 2084h
tree_shrew 4830t 3983t
tree_shrew 7294h 7294t
tree_shrew 3386h 3386t
tree_shrew 15159h 2010h
tree_shrew 3622h 3622t
tree_shrew 434t 810h
tree_shrew 594h 87t
tree_shrew 9208h 258h
tree_shrew 12746h 470h
