rabbit 558h 679h
rat 1966t 1966h
tree_shrew 4191t 4198h
tree_shrew 2809h 10020h
tree_shrew 1682h 6592t
tree_shrew 2010h 15159h
tree_shrew 4645t 13261t
tree_shrew 1477h 3054t
tree_shrew 10206t 6881t
tree_shrew 2144h 5460h
tree_shrew 350t 2742t
tree_shrew 7362t 7159h
tree_shrew 676t 3847t
tree_shrew 701h 2939h
tree_shrew 12405t 5290h
tree_shrew 5032h 3263t
tree_shrew 430h 3526t
tree_shrew 414h 192t
tree_shrew 10824h 4477h
tree_shrew 5930h 2473t
tree_shrew 2675h 2384h
tree_shrew 1367t 5539h
tree_shrew 4830t 3983t
tree_shrew 2783t 586h
tree_shrew 8158h 1942t
tree_shrew 13683t 1643h
tree_shrew 4811h 1280h
tree_shrew 5765t 3319h
tree_shrew 4754h 15826h
tree_shrew 2781t 2781h
tree_shrew 1036t 3497t
tree_shrew 4197h 7713t
tree_shrew 240t 133h
tree_shrew 4104t 4104h
tree_shrew 9564t 8457t
tree_shrew 3917h 3917t
tree_shrew 1068t 271t
tree_shrew 2035h 7525t
tree_shrew 3424h 889h
tree_shrew 2518t 5988t
tree_shrew 4238t 2265t
tree_shrew 7119t 1358t
tree_shrew 7778h 3432h
tree_shrew 1946h 1946t
tree_shrew 2438t 1416t
tree_shrew 553t 8776t
tree_shrew 5569t 10333h
tree_shrew 941h 421h
tree_shrew 2734h 2273h
tree_shrew 235t 2303t
tree_shrew 4864h 807t
tree_shrew 1057h 8524h
tree_shrew 12746h 470h
tree_shrew 3622h 3622t
tree_shrew 5653t 370t
tree_shrew 2566h 3274h
tree_shrew 718t 718h
tree_shrew 18115h 8045t
tree_shrew 4645h 12239t
tree_shrew 1106t 1750h
tree_shrew 1398t 554h
tree_shrew 3594h 560t
tree_shrew 8577t 7817t
tree_shrew 2664h 2664t
tree_shrew 20456t 2112t
tree_shrew 4399h 2079t
tree_shrew 1181t 1728h
tree_shrew 9559h 7243h
tree_shrew 1169h 1086h
tree_shrew 912t 912h
tree_shrew 86h 614t
tree_shrew 881h 13859t
tree_shrew 22h 2070t
tree_shrew 2675t 1193t
tree_shrew 8122t 6266t
tree_shrew 2219t 5577t
tree_shrew 4189t 2140t
tree_shrew 2504h 4015t
tree_shrew 543h 13912h
tree_shrew 4677h 8212t
tree_shrew 2596h 7410h
tree_shrew 15429h 1354t
tree_shrew 1096h 7485t
tree_shrew 3252t 129t
tree_shrew 1952h 7423h
tree_shrew 291h 3106h
tree_shrew 951h 5829t
tree_shrew 4t 8234h
tree_shrew 3401t 3630h
tree_shrew 4033h 3542t
tree_shrew 715h 2426h
tree_shrew 1890t 9060t
tree_shrew 187h 6609t
tree_shrew 4345h 9409t
tree_shrew 9911t 13769t
tree_shrew 249h 3348h
tree_shrew 135t 3200h
tree_shrew 331h 6873t
tree_shrew 3542h 2062t
tree_shrew 8723t 5817h
tree_shrew 142t 3474t
tree_shrew 7298h 2147h
tree_shrew 2278h 6146h
tree_shrew 11775t 7970t
tree_shrew 86t 4315t
tree_shrew 2859t 12848t
tree_shrew 2915t 1305t
tree_shrew 6520h 2032h
tree_shrew 7883t 760h
tree_shrew 5604h 6896t
tree_shrew 2667t 668t
tree_shrew 3386h 3386t
tree_shrew 970t 1225h
tree_shrew 5820h 107t
tree_shrew 960t 11549h
tree_shrew 411h 411t
tree_shrew 2226h 9964t
tree_shrew 5232t 689h
tree_shrew 15687h 7803t
tree_shrew 1193h 15384t
tree_shrew 247h 844t
tree_shrew 3142h 2860h
tree_shrew 7189t 3137t
tree_shrew 6963h 507h
tree_shrew 9860t 3489h
tree_shrew 1667t 10099h
tree_shrew 127h 1399h
tree_shrew 17110t 2348t
tree_shrew 3419t 9053h
tree_shrew 1367h 1045h
tree_shrew 8317h 8317t
tree_shrew 7902h 14h
tree_shrew 868h 5478t
tree_shrew 584h 889t
tree_shrew 5706t 11710h
tree_shrew 425t 1943t
tree_shrew 5265h 8406t
tree_shrew 4654t 448t
tree_shrew 924h 13694t
tree_shrew 376t 7065h
tree_shrew 5937t 11836t
tree_shrew 4518t 87h
tree_shrew 91h 9424t
tree_shrew 3881t 39t
tree_shrew 185h 10043t
tree_shrew 1063t 1292t
tree_shrew 1873h 3970h
tree_shrew 1814t 12581h
tree_shrew 2103h 7063h
